marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
11546_7_3,CYGB,0.130285781,0.001226985,0.004728089
6521_35_3,NPTX2,-0.127612182,0.00471,6.47e-13
7953_20_3,SLAMF1,0.290250489,0.002795064,1.61521e-4
6923_1_3,PLOD2,-0.173391523,1.87195e-4,1.2e-6
2719_3_4,CSF3R,-0.186760633,0.002343884,0.038234744
4272_46_2,GPI,0.219696226,0.001341545,0.001477988
4336_2_1,SAA1,0.150960265,0.015017827,6.14e-7
2743_5_2,SHH,0.110099658,0.00426,2.67e-6
2763_66_2,FGF20,-0.222937799,2.98412e-4,0.003865761
6421_52_3,IFNA16,-0.252420417,5.19088e-4,0.011103768
12847_27_3,RNGTT,-0.173365392,0.013878617,0.021250403
6545_58_3,PRNP,-0.191919508,0.004267359,0.005187413
7795_14_3,KLRC3,0.521322628,1.42e-7,4.58e-7
14079_14_3,IL18R1,0.223517716,1.31e-7,1.58e-5
6412_26_3,IER3IP1,0.124499732,0.024781079,0.019388778
7127_3_3,APOA2,-0.165545966,2.4196e-4,6.16e-6
14035_13_3,TIAM1,0.173803999,0.012269341,3.83e-4
9728_4_3,CCNB1IP1,0.249508478,9.24967e-4,0.007408372
5934_1_3,FTL,0.207530778,4.53e-4,8.3e-14
8750_46_3,VCL,-0.234997268,0.001291915,0.014610534
8005_1_3,MXRA7,0.337664198,1.54e-8,1.09e-6
12808_103_3,CARHSP1,0.227289943,1.98e-4,3.12e-12
9999_1_3,IRF6,0.155079067,0.00239,0.023725623
9994_217_3,ATP4B,0.182122681,0.007641537,0.018939704
10606_34_3,TOR1AIP1,0.123557724,0.036429683,0.037965471
14093_10_3,FLT3LG,0.423090694,1.99e-7,1.32e-5
12878_60_3,OSBPL11,0.322303638,6.13e-8,2.02e-7
2475_1_3,KIT,-0.101043102,0.0336,0.018046296
6389_57_3,CUEDC2,-0.211414053,0.004097604,0.032294342
12867_40_3,DYNLT3,-0.227796691,0.004643177,0.00271353
12398_15_3,PAX4,-0.158111692,0.017983197,0.035765353
12358_6_3,IGBP1,0.225261431,0.002696714,0.029817951
2831_29_1,KLK11,-0.113490332,0.022893829,0.042181725
5722_78_3,PRCP,-0.187921355,0.001700796,0.004650047
2616_23_18,ERBB2,-0.189485216,3.51835e-4,0.0045011
9970_7_3,UBXN4,-0.169231279,0.005091686,0.002069027
8479_4_3,MMP10,0.205154375,0.012683363,0.007773068
2670_67_4,CKM,-0.181878044,0.004924083,0.046071918
7824_88_3,MSRB3,-0.136684509,0.0212,4.74e-11
6399_52_3,DEFB107A,-0.162565581,0.003504469,0.003481308
4435_66_2,ENPP7,0.131944638,0.022394647,0.00218
7185_29_3,GP5,0.215668314,0.00424,9.31e-6
8074_32_3,TMEM70,-0.243677164,0.00206652,0.028944113
13094_75_3,RSPO3,0.153065432,0.00334,1.17e-5
6627_25_3,PNLIPRP1,-0.188774075,0.004163555,0.04012922
4535_50_2,BST1,0.110112197,0.01285943,0.03715724
5134_52_2,HAVCR2,0.141644151,0.00117,0.008971791
9110_2_3,SYT17,-0.191975885,0.0024410120000000002,0.029880693
7769_29_3,SH3BP2,0.327108348,2.29e-5,5.06e-9
13431_74_3,FAM159A,0.346771179,3.35e-9,8.82e-9
6713_4_3,LRP11,0.111374212,0.0474,0.002713499
13123_3_3,FLRT3,0.132996646,0.00778,0.012832272
9787_23_3,COLEC12,0.385078417,5.39e-8,1.23e-11
2681_23_2,HGF,0.112741111,0.0385,0.008369104
12396_19_3,HIBCH,0.185615548,0.00622,0.001446597
4913_78_1,CCL16,0.168925578,2.16263e-4,1.49e-7
6280_11_3,PCDH8,-0.222613139,0.029343643,0.046782399
8427_118_3,RSPO3,0.128206443,0.011,3.41e-5
11969_5_3,S100A2,0.192150378,4.26183e-4,0.013787388
8702_42_3,OSCAR,0.189436608,0.001920878,0.006567287
4332_6_2,CLEC1B,0.174400218,0.017799067,7.82e-5
4568_17_2,SLITRK5,0.148258479,0.00621,5.90037e-4
5491_12_3,SPOCK2,-0.199115196,3.1439e-4,2.5678e-4
5749_53_3,CLPS,0.229220026,0.00387769,0.004923177
9264_11_3,CTSO,0.224177264,0.003021534,0.015682545
10616_67_3,PODXL2,-0.199563961,0.001582476,0.020061088
14662_6_3,MZF1,0.171008006,0.00603,1.8e-8
8327_26_3,DPEP2,0.110221899,0.0166,2.37e-12
4718_5_2,PPIB,-0.243792297,1.35642e-4,0.001410734
12721_4_3,TAX1BP1,0.117155022,0.019,0.004235694
10447_18_3,PABPC3,0.139739889,0.0253,0.014799815
5631_83_3,MLN,-0.252649282,3.43e-4,0.00306327
2705_5_2,CCL25,-0.358096606,1.9e-6,1.01e-6
6404_20_3,C1QL1,0.167499454,2.96e-5,7.33e-12
6430_36_3,FAM19A2,-0.190654621,0.005130471,0.04097711
3202_28_2,KREMEN2,-0.407813545,1.55268e-4,0.007054407
4997_19_1,EIF4A3,-0.269481854,2.23521e-4,0.001383356
14616_16_3,ZNF382,-0.218500193,9.38e-4,4.72e-9
9603_9_3,IL22RA1,0.267386447,2.11113e-4,0.002120958
5736_1_3,TREML2,0.235779078,5.04e-5,2.85e-5
10916_44_3,PLA2R1,0.119741145,0.005658624,3.95e-5
10001_7_3,RAF1,0.111960486,0.0158,4.99868e-4
5131_15_3,TNFRSF19,0.189277108,8.04e-5,9.06e-7
7267_2_3,SPTLC2,-0.243816063,8.08728e-4,0.012419642
7761_125_3,CHKB,0.263297923,2.44e-5,4.12e-11
4931_59_1,F3,0.164874374,0.001156305,0.00806253
7244_16_3,IGFLR1,0.268992657,7.56e-9,1.16e-7
4163_5_2,H2AFZ,-0.390868793,7.10763e-4,0.015108615
7856_51_3,FAM151A,-0.191989753,0.002534084,0.009298277
3317_33_1,HTRA2,0.123391915,0.0414,0.011314892
4459_68_2,PCSK7,-0.065088734,0.0482,0.004747284
